Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2017/18,Dec-17,South Eastern,Lagan Valley,Type 2,"1,518.00",345,24,"1,887.00"
2017/18,Dec-17,South Eastern,Ulster,Type 1,"4,653.00","2,575.00",642,"7,870.00"
2017/18,Dec-17,Southern,Craigavon Area,Type 1,"4,188.00","2,812.00",343,"7,343.00"
2017/18,Dec-17,Southern,Daisy Hill,Type 1,"3,235.00","1,204.00",79,"4,518.00"
2017/18,Dec-17,Southern,South Tyrone,Type 3,"2,116.00",1,0,"2,117.00"
2017/18,Dec-17,Western,Altnagelvin Area,Type 1,"3,773.00","1,727.00",76,"5,576.00"
2017/18,Dec-17,Western,South West Acute,Type 1,"2,111.00",856,24,"2,991.00"
2017/18,Dec-17,Western,Tyrone County,Type 3,"1,227.00",3,0,"1,230.00"
2017/18,Jan-18,Belfast,Mater,Type 1,"2,700.00",925,275,"3,900.00"
2017/18,Jan-18,Belfast,Royal Victoria,Type 1,"4,567.00","2,933.00",542,"8,042.00"
2017/18,Jan-18,Belfast,RBHSC,Type 1,"2,482.00",652,0,"3,134.00"
2017/18,Jan-18,Belfast,Royal Victoria (RAES),Type 2,"1,254.00",144,0,"1,398.00"
2017/18,Jan-18,Northern,Antrim Area,Type 1,"3,579.00","2,163.00",745,"6,487.00"
2017/18,Jan-18,Northern,Causeway,Type 1,"2,094.00","1,082.00",358,"3,534.00"
2017/18,Jan-18,Northern,Mid-Ulster,Type 3,768,0,0,768
2017/18,Jan-18,South Eastern,Ards MIU,Type 3,912,0,0,912
2017/18,Jan-18,South Eastern,Bangor MIU,Type 3,820,0,0,820
2017/18,Jan-18,South Eastern,Downe,Type 2,"1,631.00",208,28,"1,867.00"
2017/18,Jan-18,South Eastern,Lagan Valley,Type 2,"1,635.00",363,40,"2,038.00"
2017/18,Jan-18,South Eastern,Ulster,Type 1,"4,346.00","2,319.00",732,"7,397.00"
2017/18,Jan-18,Southern,Craigavon Area,Type 1,"3,570.00","2,961.00",499,"7,030.00"
2017/18,Jan-18,Southern,Daisy Hill,Type 1,"2,873.00","1,107.00",347,"4,327.00"
2017/18,Jan-18,Southern,South Tyrone,Type 3,"2,352.00",0,0,"2,352.00"
2017/18,Jan-18,Western,Altnagelvin Area,Type 1,"3,284.00","1,702.00",240,"5,226.00"
2017/18,Jan-18,Western,South West Acute,Type 1,"1,721.00",977,126,"2,824.00"
2017/18,Jan-18,Western,Tyrone County,Type 3,"1,229.00",1,0,"1,230.00"
2017/18,Feb-18,Belfast,Mater,Type 1,"2,477.00","1,112.00",154,"3,743.00"
2017/18,Feb-18,Belfast,Royal Victoria,Type 1,"4,044.00","2,908.00",320,"7,272.00"
